Name,Country,Latitude,Longitude
Kabul,Afghanistan,34.52813,69.17233
Mariehamn,Aland Islands,60.09726,19.93481
Tirana,Albania,41.32744,19.81866
Algiers,Algeria,36.73225,3.08746
Pago Pago,American Samoa,-14.27806,-170.7025
Andorra la Vella,Andorra,42.50779,1.52109
Luanda,Angola,-8.83682,13.23432
The Valley,Anguilla,18.21704,-63.05783
Buenos Aires,Argentina,-34.61315,-58.37723
Yerevan,Armenia,40.17765,44.5126
Oranjestad,Aruba,12.52398,-70.02703
Canberra,Australia,-35.28346,149.12807
Melbourne,Australia,-37.814,144.96332
Sydney,Australia,-33.86785,151.20732
Vienna,Austria,48.20849,16.37208
Baku,Azerbaijan,40.37767,49.89201
Nassau,Bahamas,25.05823,-77.34306
Manama,Bahrain,26.22787,50.58565
Chattogram,Bangladesh,22.3384,91.83168
Dhaka,Bangladesh,23.7104,90.40744
Bridgetown,Barbados,13.10732,-59.62021
Minsk,Belarus,53.90019,27.56653
Brussels,Belgium,50.85045,4.34878
Belmopan,Belize,17.25376,-88.76401
Porto-Novo,Benin,6.49646,2.60359
Hamilton,Bermuda,32.2949,-64.78303
Thimphu,Bhutan,27.46609,89.64191
Sucre,Bolivia,-19.03332,-65.26274
Sarajevo,Bosnia and Herzegovina,43.84864,18.35644
Gaborone,Botswana,-24.65451,25.90859
Rio de Janeiro,Brazil,-22.90642,-43.18223
São Paulo,Brazil,-23.5475,-46.63611
Road Town,British Virgin Islands,18.42693,-64.62079
Bandar Seri Begawan,Brunei,4.89035,114.94006
Sofia,Bulgaria,42.69751,23.32415
Ouagadougou,Burkina Faso,12.36566,-1.53388
Gitega,Burundi,-3.42708,29.92463
Praia,Cabo Verde,14.93152,-23.51254
Phnom Penh,Cambodia,11.56245,104.91601
Ottawa,Canada,45.41117,-75.69812
George Town,Cayman Islands,19.2866,-81.37436
Bangui,Central African Republic,4.36122,18.55496
N'Djamena,Chad,12.10672,15.0444
Santiago,Chile,-33.45694,-70.64827
Bao'an,China,22.55213,113.88288
Beijing,China,39.9075,116.39723
Changchun,China,43.88,125.32278
Chengdu,China,30.66667,104.06667
Chongqing,China,29.56026,106.55771
Dalian,China,38.91222,121.60222
Dongguan,China,23.01797,113.74866
Foshan,China,23.02677,113.13148
Fuzhou,China,26.06139,119.30611
Guangzhou,China,23.11667,113.25
Hangzhou,China,30.29365,120.16142
Harbin,China,45.75,126.65
Hefei,China,31.86389,117.28083
Jinan,China,36.66833,116.99722
Kunming,China,25.03889,102.71833
Nanjing,China,32.06167,118.77778
Nanning,China,22.81667,108.31667
Ningbo,China,29.87819,121.54945
Puyang,China,29.45679,119.88872
Qingdao,China,36.06488,120.38042
Shanghai,China,31.22222,121.45806
Shantou,China,23.35489,116.67876
Shenyang,China,41.79222,123.43278
Shenzhen,China,22.54554,114.0683
Shijiazhuang,China,38.04139,114.47861
Shiyan,China,32.6475,110.77806
Suzhou,China,31.30408,120.59538
Taiyuan,China,37.86944,112.56028
Tangshan,China,39.64381,118.18319
Tianjin,China,39.14222,117.17667
Wuhan,China,30.58333,114.26667
Wuxi,China,31.56887,120.28857
Xiamen,China,24.47979,118.08187
Xi’an,China,34.25833,108.92861
Zhengzhou,China,34.75778,113.64861
Zhongshan,China,22.52306,113.37912
Flying Fish Cove,Christmas Island,-10.42172,105.67912
West Island,Cocos Islands,-12.15681,96.82251
Bogotá,Colombia,4.60971,-74.08175
Moroni,Comoros,-11.70216,43.25506
Avarua,Cook Islands,-21.2075,-159.77546
Zagreb,Croatia,45.81444,15.97798
Havana,Cuba,23.13302,-82.38304
Nicosia,Cyprus,35.17284,33.35397
Prague,Czechia,50.08804,14.42076
Kinshasa,Democratic Republic of the Congo,-4.32758,15.31357
Copenhagen,Denmark,55.67594,12.56553
Djibouti,Djibouti,11.58901,43.14503
Roseau,Dominica,15.30174,-61.38808
Santo Domingo,Dominican Republic,18.47186,-69.89232
Quito,Ecuador,-0.22985,-78.52495
Alexandria,Egypt,31.20176,29.91582
Cairo,Egypt,30.06263,31.24967
Giza,Egypt,30.00944,31.20861
San Salvador,El Salvador,13.68935,-89.18718
Malabo,Equatorial Guinea,3.75578,8.78166
Asmara,Eritrea,15.33805,38.93184
Tallinn,Estonia,59.43696,24.75353
Mbabane,Eswatini,-26.31667,31.13333
Addis Ababa,Ethiopia,9.02497,38.74689
Stanley,Falkland Islands,-51.69382,-57.85701
Suva,Fiji,-18.13683,178.42531
Helsinki,Finland,60.16952,24.93545
Marseille,France,43.29695,5.38107
Paris,France,48.85341,2.3488
Cayenne,French Guiana,4.9381,-52.33455
Papeete,French Polynesia,-17.5347,-149.56843
Libreville,Gabon,0.39241,9.45356
Banjul,Gambia,13.45274,-16.57803
Tbilisi,Georgia,41.69143,44.83412
Berlin,Germany,52.52437,13.41053
Hamburg,Germany,53.55073,9.99302
Köln,Germany,50.93333,6.95
Munich,Germany,48.13743,11.57549
Accra,Ghana,5.55602,-0.1969
Gibraltar,Gibraltar,36.14474,-5.35257
Athens,Greece,37.98376,23.72784
